tweet_id,date,user,favorite_count,retweet_count,text
1256217401319972869,2020-05-01 13:42:22,medicine_seer,0,3,Chase bank poured $268 billion into fossil fuels since the Paris Climate Agreement was adopted  making them the biggest funder of fossil fuels and climate change. PLEDGE to not bank with Chase at https://t.co/A6bWdCV73M #NotMyDirtyMoney #DefundClimateChange #DivestReinvest
1256011164238016514,2020-05-01 00:02:51,kathylynn626,0,20,Shout out to activists in Phoenix 👏 for reminding @Chase that bankrolling fossil fuel projects is fueling the fire of climate change  harming the health of frontline communities  and violating Indigenous rights. RT to demand It #DefundClimateChange https://t.co/sh4cZCHSTf https://t.co/vzcAAnhhhz
1255985550521065472,2020-04-30 22:21:04,solarpaddy,0,1,During the pandemic  @Chase Bank continues to expand its funding of fossil fuels. Chase is using our money to destroy our future. PLEDGE to not bank with Chase at https://t.co/CPHIBPbiZZ #NotMyDirtyMoney  #DefundClimateChange #DivestReinvest https://t.co/kMcmz3sGUo
1255983836556660742,2020-04-30 22:14:16,ruthinajosefina,4,1,During the pandemic  @Chase Bank continues to expand its funding of fossil fuels. Chase is using our money to destroy our future. PLEDGE to not bank with Chase at https://t.co/CPHIBPbiZZ #NotMyDirtyMoney  #DefundClimateChange #DivestReinvest https://t.co/kMcmz3sGUo
1255959036677193743,2020-04-30 20:35:43,KRISPjeans,0,4,During the pandemic  Chase Bank continues to expand its funding of fossil fuels. Chase is using our money to destroy our future. PLEDGE to not bank with Chase at https://t.co/A6bWdCV73M ::#NotMyDirtyMoney  #DefundClimateChange #DivestReinvest
1255957126645600256,2020-04-30 20:28:08,thevongie,0,4,During the pandemic  Chase Bank continues to expand its funding of fossil fuels. Chase is using our money to destroy our future. PLEDGE to not bank with Chase at https://t.co/A6bWdCV73M ::#NotMyDirtyMoney  #DefundClimateChange #DivestReinvest
1255955583724814336,2020-04-30 20:22:00,joshfoxfilm,0,4,During the pandemic  Chase Bank continues to expand its funding of fossil fuels. Chase is using our money to destroy our future. PLEDGE to not bank with Chase at https://t.co/A6bWdCV73M ::#NotMyDirtyMoney  #DefundClimateChange #DivestReinvest
1255954831447068674,2020-04-30 20:19:00,earthguardianz,6,4,During the pandemic  Chase Bank continues to expand its funding of fossil fuels. Chase is using our money to destroy our future. PLEDGE to not bank with Chase at https://t.co/A6bWdCV73M ::#NotMyDirtyMoney  #DefundClimateChange #DivestReinvest
1255924633699856390,2020-04-30 18:19:01,earthguardianz,1,1,Demonstrate that your money and your values align by defunding Wall Street. Don’t allow big banks like Chase to use your money to fund the destruction of the planet. Take the pledge today at https://t.co/A6bWdCV73M #DivestReinvest #DefundClimateChange
1255909713423863808,2020-04-30 17:19:44,JudieResists,0,3,Chase bank poured $268 billion into fossil fuels since the Paris Climate Agreement was adopted  making them the biggest funder of fossil fuels and climate change. PLEDGE to not bank with Chase at https://t.co/A6bWdCV73M #NotMyDirtyMoney #DefundClimateChange #DivestReinvest
