tweet_id,date,user,favorite_count,retweet_count,text
1257771612629110786,2020-05-05 20:38:15,BankofAmerica,0,8,While social distancing  I’m thankful for social connections like #GivingTuesdayNow to unite us in making a difference. Need inspiration? Check out critical work being done by @BankofAmerica partners like @nycpolicefdtn @newyorkcares @FeedWestchester &amp; @GrowNYC. #BofAGrants https://t.co/5khg7fYocK
1257703004884447232,2020-05-05 16:05:38,BankofAmerica,0,3,Today is #GivingTuesdayNOW! Today we fight COVID-19 through the power of generosity. Will you join us on this global day of giving to raise funds for COVID-19 patient and staff support? @BankofAmerica is generously matching all donations up to $100 000. https://t.co/WsditQN0Oz https://t.co/K1gStsfIWs
1257684789152428032,2020-05-05 14:53:15,BankofAmerica,0,23,This #GivingTuesdayNow  we're standing together in unity and encouraging generosity. We're grateful for our partners' commitment to help individuals and families impacted by the coronavirus. https://t.co/j9TOiwwl57 https://t.co/umo3buoWqu
1253748813094772736,2020-04-24 18:13:05,BankofAmerica,0,22,#PPP Update: Congress and the President approved an additional $310B to the PPP to support Small Business owners  and other funds for hospitals  coronavirus testing  and more. https://t.co/8DBenPQpvW https://t.co/bx8DDKzetM
1250122556587139072,2020-04-14 18:03:38,BankofAmerica,55,27,"Be alert for scams!  Don’t give your personal information to “sign-up” or get your ""stimulus payment"" early. Visit the Federal Trade Commission’s Coronavirus scam tips to recognize potential fraud. https://t.co/5P781v7xzO"
1248683881169129472,2020-04-10 18:46:51,BankofAmerica,0,26,From addressing food insecurity to medical response capacity and more  we’re supporting our partners working to respond to the challenges of coronavirus through $100M in philanthropic grants from Bank of America. https://t.co/VzqE8cZYiB https://t.co/q2wro18yTe
1248672115793985538,2020-04-10 18:00:06,BankofAmerica,33,11,As you navigate through the challenges of Coronavirus  Bank of America is here to help. Check out this playlists addressing some of the most frequently asked questions. ::https://t.co/QhQjt3Nft9 https://t.co/Kr0G0V0BpE
1244364753230655488,2020-03-29 20:44:11,BankofAmerica,0,357,No family should lose their home during the #COVID19 crisis. ::That’s why we’ve secured support from @Citi  @Chase  @usbank  @WellsFargo  @BankofAmerica  and 40 other financial institutions for a 90-day grace period for mortgage payments.: :LEARN MORE:  https://t.co/s2LPBgWtul https://t.co/r6qpyTJO6T
1242917993216163843,2020-03-25 20:55:16,BankofAmerica,0,83,To our mortgage customers – if you are impacted by Coronavirus you can request to defer your payments on a monthly basis until this crisis is over. https://t.co/OtvewifQPt
1242456234202030080,2020-03-24 14:20:24,BankofAmerica,145,54,Clients and small business owners: if you've been negatively impacted by coronavirus  we're here to help  says Chief Client Care Exec @hollyaoneill. https://t.co/3qbLqUmB58 https://t.co/odXGSEpCqX
1241019923356237827,2020-03-20 15:13:01,BankofAmerica,0,41,As we continue evaluating the best ways to address needs  we’re offering additional assistance in response to the challenges of the coronavirus. ⬇️ https://t.co/0jmsRmYhpj https://t.co/BAy9LdbstW
1240033355497795584,2020-03-17 21:52:45,BankofAmerica,0,199,Today  we’re committing $100 million to our communities impacted by the unprecedented challenges of the coronavirus. --&gt; https://t.co/d8Wx5ZZCGp https://t.co/Tr5MRbCWqH
1238610526105751559,2020-03-13 23:38:56,BankofAmerica,0,87,As the situation with Coronavirus continues to develop  the safety and health of our teammates and our customers are what matter most. Our entire team is ready and standing by to support you. For the latest resources and information please visit: https://t.co/3ij3uJbC1x https://t.co/emE0NV9xSv
1260668647770673152,2020-05-13 20:30:02,Citibank,8,5,Protect Yourself from COVID-19 Scams: Don’t release financial or personal information without confirming reports of relatives seeking medical treatment  or call the hospital or clinic directly to verify payment information. https://t.co/ftenVMq1pg
1259898569345171462,2020-05-11 17:30:01,Citibank,6,1,Protect Yourself from COVID-19 Scams: We are aware various scams are taking place that are leveraging the COVID-19 pandemic as a way to defraud people. Please visit the Citi Security Center for more details on how to protect yourself. https://t.co/r9RDJTJT8B https://t.co/n0OZHGpK6q
1258841606477828096,2020-05-08 19:30:01,Citibank,7,3,Protect Yourself from COVID-19 Scams: Be wary of contacts claiming to be hospital or clinic officials reporting that a relative has fallen sick from the virus and requesting payment for medical treatment. https://t.co/ObBUxRT9pk
